step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
347411,3.863800460100174,624.8,0.0017362154336388231,0.9786653070476373,0.12335629197140548,0.9573040561146691,0.7584629460201281,0.0034749933993825782,0.0395967810245659,0.8202425640262747,0.17053089804484167,0.42801507629357677
357411,6.2472007274627686,335.3,0.00037592493386340043,0.9929301288649728,0.009149130832570906,0.9996950289722475,0.9313815187557182,0.0014272133006391137,0.021974313498144438,0.30233690104040817,0.01007789670134694,0.25280424299447574
367411,5.656000995635987,880.8,0.0007070548429587858,0.9903521492338945,0.018298261665141813,0.9818542238487342,0.8700823421774931,0.0019440101354952113,0.024995669763410857,0.42737312768990526,0.07612861232958426,0.3362128195182642
377411,2.681200397014618,965.2,0.0009257006756996042,0.9870410317333915,0.018298261665141813,0.9977127172918573,0.8472095150960659,0.002123366111387783,0.028257822059028624,0.42737312768990526,0.02886933778478528,0.3597854258120453
387411,0.608800220489502,1600.0,0.001244698102771858,0.9839267394871423,0.018298261665141813,0.9809393107654771,0.7840805123513266,0.0024033089419753027,0.03044360135806822,0.4273731276899053,0.07788771380017057,0.41145870084640057
397411,-0.7910000681877136,1648.4,0.0009090410674249479,0.9877448135075377,0.018298261665141813,0.9986276303751144,0.8444647758462946,0.002114015819530863,0.02729491864723884,0.42737312768990526,0.023061133974272112,0.3624141528709413
407411,-1.0390002846717834,1672.2,0.0012762606201906193,0.9839324431051502,0.009149130832570906,0.9989326014028667,0.7731015553522416,0.0023862832578631712,0.02927975277770377,0.30233690104040817,0.02075820198260645,0.4188263846323278
417411,6.007600700855255,254.7,0.0008317256231046771,0.9887969584029569,0.0192131747483989,0.9981701738334858,0.8243366880146387,0.001908271820041859,0.025262649008008262,0.4284021284386466,0.0348788739383856,0.3805334581974297
427411,5.273800897598266,270.9,0.0003642329032831694,0.9928014096578801,0.027447392497712716,0.9983226593473619,0.9505946935041171,0.0013769700552713035,0.022169391361044715,0.5231831090757839,0.025150404294015476,0.21671276424320454
437411,7.978001451492309,622.2,0.0009575305191607905,0.9876621792828705,0.009149130832570906,0.9987801158889904,0.8371454711802379,0.002172422585333786,0.02715786901712179,0.30233690104040817,0.023614093961764438,0.36923289569410717
447411,7.71480085849762,302.9,0.0008163421940138408,0.9892863391808446,0.009149130832570906,0.9989326014028669,0.8490393412625801,0.001990085408112478,0.026149931765355773,0.30233690104040817,0.02075820198260645,0.3580105281286909
457411,4.609200555086136,1153.3,0.0007610057545177391,0.991444889104872,0.018298261665141813,0.9984751448612381,0.8664226898444648,0.0018119291841492686,0.018446762196358636,0.42737312768990526,0.02249355158839375,0.3401976078210239
467411,-1.7680001974105835,1836.1,0.00128987910759033,0.981374326467434,0.05489478499542543,0.9943580359865815,0.7849954254345837,0.0023248406051305974,0.031677832534348443,0.7388737460043904,0.04387557031138119,0.41082551951085106
477411,7.793600922822952,263.5,0.000518835237795859,0.990151149679608,0.06587374199451052,0.970722781335773,0.9469350411710887,0.001746711501900286,0.027165181566672816,0.7024054152748952,0.12412882802722783,0.22416304105136783
487411,9.811401480436325,1057.6,0.0009999461109190476,0.986079534141881,0.009149130832570906,0.9983226593473621,0.8417200365965233,0.002083330498463082,0.026271244443075967,0.30233690104040817,0.025150404294015476,0.3650033103801536
497411,-2.4462001800537108,1824.5,0.0009513216413955177,0.986671022529744,0.009149130832570906,0.9656907593778591,0.8344007319304666,0.0020491273485130227,0.025001570444847236,0.30233690104040817,0.1016638200422538,0.37172052739170625
507411,7.286400938034058,1317.7,0.0014197063367747294,0.9841782743869436,0.018298261665141813,0.9971027752363527,0.747483989021043,0.00248159645135794,0.02759677715862231,0.42737312768990526,0.03214950129456884,0.434455607833795
517411,7.138401007652282,941.2,0.0011416390394410152,0.9851663287732132,0.009149130832570906,0.9984751448612383,0.7950594693504117,0.0022498990519236694,0.028721456622986814,0.30233690104040817,0.025660190508566237,0.4036581592717449
527411,13.596001696586608,418.4,0.0013794920353189337,0.9825666744683607,0.018298261665141813,0.979871912168344,0.7648673376029277,0.0024777194027817834,0.030183833106593592,0.42737312768990526,0.08035364462592424,0.4240817061264689
537411,9.60880093574524,1009.0,0.001008483716449473,0.9859259162069905,0.036596523330283626,0.9813967673071057,0.8426349496797805,0.0021548124963609193,0.027096858012264448,0.6038426349496798,0.07651795408707744,0.3641446021265925
547411,11.527401351928711,450.7,0.0010707223985351006,0.9846449004846768,0.009149130832570906,0.9512046355596216,0.8353156450137237,0.0022147753251864793,0.028163906307677383,0.30233690104040817,0.11783095471588413,0.37089542759250954
